Kepler ID,KOI Name,Discovery Quarter,Kepler Disposition,RA (J2000),Dec (J2000),Period,Transit Depth,Duration,Semi-major Axis,Eccentricity,r/R,a/R,Planet Radius,Teq,Teff,log(g),Stellar Radius,Stellar Mass,KOI count,Binary Discrimination
11446443,K00001.01,1,CANDIDATE,19 07 14.033,+49 18 59.04,2.47,14284,1.72,0.04,0,0.12,8.45,14.4,1394,5814,4.38,1.06,1,1,3.78
10666592,K00002.01,1,CANDIDATE,19 28 59.348,+47 58 10.28,2.2,6713,3.88,0.04,0,0.08,4.68,22.3,2303,6264,3.79,2.71,1.66,1,3.91
10748390,K00003.01,1,CANDIDATE,19 50 50.244,+48 04 51.07,4.89,4323,2.37,0.05,0,0.06,16.68,4.68,794,4766,4.59,0.74,0.79,1,1.27
8554498,K00005.01,1,CANDIDATE,19 18 57.532,+44 38 50.71,4.78,966,2.01,0.06,0,0.04,7.56,5.66,1279,5861,4.19,1.42,1.15,2,2.20E-004
8554498,K00005.02,1,CANDIDATE,19 18 57.532,+44 38 50.71,7.05,18,3.69,0.08,0,0,9.8,0.66,1124,5861,4.19,1.42,1.15,2,0.99
11853905,K00007.01,1,CANDIDATE,19 02 27.678,+50 08 08.70,3.21,735,4.11,0.04,0,0.03,4.49,3.72,1386,5858,4.28,1.27,1.12,1,0
6922244,K00010.01,1,CANDIDATE,18 45 09.148,+42 27 03.89,3.52,9165,3.2,0.05,0,0.09,7.5,15.9,1532,6025,4.11,1.56,1.14,1,1.20E-004
5812701,K00012.01,1,CANDIDATE,19 49 48.896,+41 00 39.56,17.86,9155,7.41,0.14,0,0.09,20.04,13.4,912,6635,4.25,1.4,1.26,1,6.51
9941662,K00013.01,1,CANDIDATE,19 07 53.086,+46 52 06.09,1.76,4633,3.17,0.04,0,0.08,4.4,23,3370,9071,3.93,2.7,2.27,1,82.97
10874614,K00017.01,1,CANDIDATE,19 47 20.940,+48 14 23.80,3.23,10634,3.6,0.05,0,0.09,7.53,11.07,1260,5826,4.42,1.08,1.14,1,0
8191672,K00018.01,1,CANDIDATE,19 57 37.683,+44 02 06.19,3.55,7215,4.08,0.05,0,0.08,7.19,17.4,1733,6297,3.99,2.02,1.45,1,0
11804465,K00020.01,1,CANDIDATE,19 04 58.425,+50 02 25.36,4.44,16465,4.67,0.06,0,0.12,8.13,17.6,1314,6011,4.23,1.38,1.17,1,0.01
9631995,K00022.01,1,CANDIDATE,18 50 31.121,+46 19 24.10,7.89,10348,3.79,0.08,0,0.09,17.16,11.27,976,5972,4.41,1.11,1.16,1,0
6521045,K00041.01,1,CANDIDATE,19 25 32.637,+41 59 24.97,12.82,229,6.54,0.11,0,0.02,9.35,2.08,869,5909,4.3,1.23,1.11,3,4.40E-004
6521045,K00041.02,1,CANDIDATE,19 25 32.637,+41 59 24.97,6.89,75,4.48,0.07,0,0.01,6.18,1.24,1071,5909,4.3,1.23,1.11,3,1.1
6521045,K00041.03,1,CANDIDATE,19 25 32.637,+41 59 24.97,35.33,87,6.14,0.22,0,0.01,18.38,1.4,620,5909,4.3,1.23,1.11,3,1.34
8866102,K00042.01,1,CANDIDATE,18 52 36.167,+45 08 23.40,17.83,331,4.66,0.14,0,0.02,19.4,2.71,845,6170,4.24,1.36,1.17,1,2.95
10905239,K00046.01,1,CANDIDATE,18 53 01.318,+48 21 18.84,3.49,1295,4.02,0.05,0,0.04,4.79,4.33,1233,5764,4.4,1.11,1.13,2,0.9
10905239,K00046.02,1,CANDIDATE,18 53 01.318,+48 21 18.84,6.03,61,3.79,0.07,0,0.01,6.89,0.96,1032,5764,4.4,1.11,1.13,2,2.11
9527334,K00049.01,1,CANDIDATE,19 28 59.766,+46 09 53.36,8.31,816,3.08,0.08,0,0.03,14.5,3.24,926,5923,4.44,1.04,1.1,1,1.41
6056992,K00051.01,1,CANDIDATE,19 43 40.525,+41 19 56.76,10.43,26041,3.92,0.06,0,0.43,15.48,12.5,314,3240,4.9,0.27,0.21,1,1.69
11554435,K00063.01,1,CANDIDATE,19 16 54.280,+49 32 53.52,9.43,4049,2.77,0.09,0,0.06,26.3,6.31,843,5721,4.47,0.99,1.07,1,0.92
