J-K,H-K,J-H,Spectral Type,EW Na,EW Ca,H2OK2 Index
0.81,0.26,0.55,M4V,4.13,2.57,0.89
0.84,0.24,0.6,M5V,4.47,2.27,0.86
0.88,0.33,0.56,M5V,5.95,3.47,0.85
0.84,0.29,0.55,M3V,4.94,4.13,0.93
0.86,0.29,0.57,M5V,4.73,2.08,0.84
0.84,0.28,0.57,M4V,5.93,3.95,0.88
0.89,0.3,0.6,M5V,6.64,3.28,0.82
0.94,0.33,0.61,M6V,6.12,1.84,0.81
0.86,0.25,0.61,M4V,6.19,3.63,0.89
0.83,0.26,0.56,M4V,4.79,2.6,0.88
0.88,0.3,0.57,M4V,5.64,2.69,0.86
0.84,0.15,0.68,M1V,4.6,4.02,0.99
0.88,0.26,0.61,M3V,5.27,3.91,0.91
0.87,0.32,0.54,M5V,4.74,2.75,0.84
0.91,0.33,0.59,M6V,5.98,1.62,0.79
0.87,0.28,0.59,M4V,7.29,3.5,0.88
0.97,0.34,0.63,M7V,6.08,2.1,0.79
0.88,0.24,0.65,M1V,6.01,4.92,0.97
0.85,0.29,0.56,M4V,5.28,3.12,0.86
0.76,0.22,0.54,M4V,3.96,2.49,0.87
0.86,0.28,0.58,M5V,4.98,2.69,0.86
0.79,0.24,0.55,M3V,4.73,3.7,0.91
0.86,0.31,0.55,M5V,5.47,2.68,0.86
0.73,0.23,0.5,M4V,2.9,2.18,0.88
0.8,0.25,0.55,M4V,4.05,2.66,0.89
0.94,0.38,0.57,M5V,6.35,2.56,0.85
0.79,0.26,0.53,M5V,3.51,1.63,0.83
0.83,0.25,0.58,M5V,4.68,2.17,0.84
0.88,0.32,0.56,M5V,5.49,2.61,0.85
0.8,0.27,0.53,M5V,3.77,1.75,0.84
0.91,0.3,0.61,M4V,7.59,3.85,0.89
0.92,0.33,0.59,M5V,6.98,2.56,0.84
0.77,0.24,0.52,M5V,3.32,1.68,0.84
0.86,0.28,0.59,M5V,5.81,3.11,0.85
0.77,0.3,0.47,M4V,3.98,2.7,0.88
0.76,0.27,0.48,M4V,2.52,2.22,0.87
0.86,0.26,0.59,M4V,5.16,2.97,0.87
0.85,0.25,0.59,M3V,5.64,3.67,0.92
0.94,0.35,0.59,M7V,5.55,1.94,0.79
0.86,0.27,0.6,M5V,5.53,3.37,0.87
0.83,0.31,0.52,M4V,5.53,3.02,0.88
0.92,0.33,0.58,M5V,6.01,2.3,0.83
0.82,0.29,0.53,M4V,5.23,3.31,0.89
0.75,0.25,0.51,M4V,3.41,1.89,0.86
0.81,0.17,0.64,M1V,3.24,2.72,0.98
0.83,0.28,0.55,M3V,4.79,3.76,0.91
0.9,0.3,0.6,M5V,7.02,3.5,0.86
0.82,0.29,0.54,M4V,3.02,1.91,0.85
0.88,0.3,0.59,M5V,5.78,3.37,0.85
0.82,0.23,0.59,M4V,3.68,2.92,0.89
0.86,0.36,0.5,M4V,4.65,2.98,0.9
0.88,0.26,0.62,M1V,4.98,4.64,1
0.88,0.31,0.58,M5V,6.78,4.48,0.86
0.86,0.26,0.6,M4V,6.32,3.47,0.89
0.76,0.27,0.5,M5V,2.91,1.51,0.85
0.86,0.27,0.59,M2V,4.38,3.79,0.94
0.92,0.34,0.58,M7V,4.73,0.92,0.79
0.72,0.19,0.53,M4V,2.53,2.47,0.89
1.01,0.37,0.63,M7V,7.04,1.6,0.76
0.95,0.33,0.62,M6V,5.41,2.21,0.81
0.89,0.27,0.63,M4V,7.53,3.6,0.88
0.82,0.3,0.52,M4V,4.52,2.64,0.88
0.9,0.36,0.55,M7V,5.54,2.04,0.81
0.86,0.3,0.56,M5V,5.2,2.3,0.83
0.86,0.32,0.55,M5V,5.72,3.35,0.87
0.9,0.29,0.61,M5V,5.66,3.24,0.86
0.78,0.28,0.5,M5V,2.72,1.52,0.84
0.84,0.28,0.56,M4V,3.76,2.59,0.87
0.81,0.28,0.54,M5V,3.57,1.8,0.84
0.84,0.27,0.57,M3V,5.75,3.92,0.9
0.87,0.29,0.57,M2V,4.1,3.52,0.95
0.76,0.14,0.62,M0V,3.56,4.13,1.05
0.85,0.3,0.55,M5V,4.86,2.15,0.85
0.87,0.28,0.59,M4V,5.19,4.01,0.87
0.78,0.29,0.49,M5V,3.72,2.16,0.85
0.79,0.3,0.49,M5V,2.9,1.56,0.82
0.81,0.27,0.54,M4V,4.48,2.94,0.89
0.85,0.25,0.59,M2V,4.38,3.46,0.95
1,0.4,0.6,M7V,7.2,2.13,0.78
0.89,0.29,0.6,M5V,6.35,3.1,0.84
0.8,0.32,0.48,M5V,3.67,2.13,0.85
0.8,0.26,0.54,M4V,4.56,3.41,0.88
0.77,0.2,0.58,M1V,2.51,2.47,0.96
0.8,0.3,0.5,M4V,2.91,1.99,0.89
0.81,0.32,0.48,M4V,3.95,2.73,0.88
0.83,0.25,0.58,M3V,4.91,4.09,0.95
0.85,0.32,0.54,M5V,5.36,2.65,0.85
0.81,0.22,0.59,M2V,3.79,3.88,0.97
0.99,0.4,0.6,M7V,5.72,1.7,0.75
0.81,0.22,0.59,M3V,4.29,3.43,0.95
0.74,0.21,0.52,M4V,1.62,0.99,0.88
0.84,0.27,0.58,M4V,5.28,3.25,0.87
0.92,0.32,0.6,M5V,6.91,3,0.83
0.95,0.31,0.64,M6V,5.79,2.15,0.83
0.95,0.36,0.6,M6V,5.85,2.44,0.81
0.83,0.3,0.53,M4V,4.99,3.33,0.88
0.78,0.28,0.5,M4V,3.39,1.71,0.87
0.89,0.31,0.59,M5V,6.11,2.85,0.85
0.86,0.3,0.56,M5V,5.23,2.69,0.85
0.82,0.28,0.54,M4V,4.01,2.46,0.89
0.78,0.23,0.55,M1V,3.77,3.84,0.99
0.77,0.22,0.54,M3V,4.61,3.55,0.92
0.77,0.2,0.57,M4V,3.39,2.63,0.86
0.83,0.29,0.55,M3V,4.03,3.31,0.91
0.84,0.32,0.52,M5V,4.98,2.12,0.85
0.81,0.23,0.58,M4V,5.55,3.46,0.89
0.9,0.33,0.58,M5V,4.87,1.94,0.82
0.81,0.32,0.5,M5V,3.33,1.52,0.81
0.83,0.21,0.62,M3V,4.22,3.13,0.91
1,0.35,0.65,M89V,4.53,0.89,0.73
0.92,0.32,0.6,M5V,5.97,2.61,0.86
0.86,0.22,0.64,M3V,4.65,4.89,0.97
0.94,0.37,0.57,M6V,4.91,1.62,0.81
0.8,0.24,0.56,M2V,1.81,1.58,0.96
0.79,0.3,0.49,M4V,3.88,2.48,0.88
0.83,0.34,0.48,M5V,3.96,2.34,0.85
0.87,0.3,0.57,M4V,5.63,2.5,0.85
0.83,0.25,0.58,M4V,4.43,2.95,0.87
0.76,0.28,0.48,M5V,3.69,1.6,0.84
0.75,0.21,0.55,M3V,3.21,2.35,0.91
0.86,0.29,0.57,M5V,5.38,3.94,0.88
0.76,0.28,0.48,M4V,4.22,2.78,0.87
0.82,0.23,0.59,M3V,4.31,3.21,0.91
0.73,0.22,0.51,M4V,2.88,1.96,0.87
0.96,0.36,0.59,M6V,7.66,2.97,0.83
0.75,0.25,0.49,M4V,3.53,2.76,0.89
0.91,0.29,0.62,M4V,5.43,3.14,0.87
0.91,0.38,0.53,M5V,5.03,2.77,0.87
