Jmag,Hmag,Kmag,sptype,na,ca,hind,[Fe/H]
9.9,10.97,10.42,M5V ,5.35,2.09,0.83,0.1
8.64,8.96,8.65,M4V      ,2.32,1.51,0.89,-0.79
6.86,8.5,8.01,M5V    ,5.59,2.93,0.84,0.14
9.72,10.67,10.4,M5V ,6.4,3.95,0.86,0.25
7.23,8.24,7.81,M4V      ,4.13,2.57,0.89,-0.17
7.28,9.45,8.59,M4V    ,4.45,2.63,0.86,-0.09
8.7,9.26,8.8,M4V    ,5.52,4.07,0.89,0.13
4.88,6.27,5.95,M5V    ,4.47,2.27,0.86,-0.08
7.24,9.28,8.65,M4V      ,5.72,3.67,0.88,0.16
8.76,10.47,9.3,M5V ,7.1,3.24,0.87,0.29
8.81,9.18,8.89,M5V    ,5.95,3.47,0.85,0.2
7.26,8.3,7.99,M4V      ,5.4,3.66,0.88,0.11
9.3,10.47,9.79,M3V ,4.94,4.13,0.93,0.02
8.6,10.04,9.37,M5V      ,4.73,2.08,0.84,-0.02
8.26,10.2,9.76,M2V ,7.79,4.73,0.92,0.3
8.08,10.08,9.12,M4V ,5.93,3.95,0.88,0.19
8.28,9.35,8.55,M6V      ,6.12,1.84,0.81,0.22
8.1,9.04,8.21,M6V      ,4.26,1.96,0.8,-0.14
7.79,9.43,8.81,M4V    ,4.79,2.6,0.88,-0.01
7.51,8.98,8.3,M5V    ,6.06,2.71,0.85,0.21
7.43,8.82,8.3,M5V    ,5.15,2.97,0.87,0.07
7.21,9.03,8.71,M4V      ,5.64,2.69,0.86,0.15
9.8,10.68,9.88,M6V ,6.57,2.86,0.82,0.26
8.36,10.42,9.55,M6V ,5.35,2.94,0.81,0.1
9.39,10.11,9.81,M5V ,5.94,2.74,0.84,0.19
6.94,7.32,7.07,M1V    ,4.6,4.02,0.99,-0.05
7.04,8,7.12,M3V    ,5.27,3.91,0.91,0.09
6.48,7.7,6.65,M5V    ,4.74,2.75,0.84,-0.02
7.88,9.71,8.93,M6V      ,5.98,1.62,0.79,0.2
8.62,9.93,8.8,M5V    ,7.06,4.08,0.85,0.29
6.97,9.12,8.17,M4V      ,5.68,3.71,0.88,0.16
9,9.61,9.1,M4V      ,7.29,3.5,0.89,0.3
8.23,9.56,9.01,M7V      ,6.08,2.1,0.79,0.21
8.76,9.52,8.93,M1V    ,6.01,4.92,0.98,0.2
8.55,9.51,9.2,M5V    ,4.64,2.66,0.84,-0.04
7.38,7.87,7.63,M4V      ,5.28,3.12,0.86,0.09
8.77,9.41,9.14,M5V ,5.72,3.58,0.84,0.16
8.02,9.56,9.19,M5V ,6.05,2.69,0.83,0.21
8.79,10.61,9.69,M5V      ,4.98,2.69,0.86,0.03
5.69,6.77,5.96,M3V      ,4.73,3.7,0.91,-0.02
8.51,10.55,9.87,M5V    ,5.47,2.68,0.86,0.12
7.78,9.57,8.69,M4V      ,5.1,3.27,0.87,0.06
6.22,7.91,7.59,M8/9V ,3.32,0.59,0.72,-0.42
7.58,9.21,8.43,M4V      ,2.9,2.18,0.88,-0.57
8.12,10.11,9.52,M5V ,6.15,3.36,0.85,0.22
9.7,10.92,9.95,M4V      ,4.05,2.66,0.89,-0.19
6.97,8.21,7.83,M5V      ,6.35,2.56,0.85,0.24
6.95,8.76,8.38,M3V ,6.66,4.41,0.91,0.27
8.41,9.87,9.6,M5V      ,3.51,1.63,0.83,-0.36
10.27,11.4,10.88,M6V ,5.9,2.49,0.79,0.19
7.84,8.77,8.46,M4V      ,4.81,3.29,0.87,0
8.73,10.04,9.28,M7V ,4.6,1.4,0.79,-0.05
7.72,9.46,8.32,M5V ,5.3,3.46,0.83,0.09
7.92,9.55,8.44,M5V    ,5.35,3.53,0.83,0.1
